received_at,monotonic_s,robot,role,fleet_id,kind,x,y,z,yaw,pose_age,pose_fresh
2026-09-13T03:08:31.061+00:00,67126.770163568,cf232,cf232,CF03,drone,-1.5,0.0,0.0,0.0,0.0008702040067873895,yes
2026-09-13T03:08:31.061+00:00,67126.770163568,cf233,cf233,CF04,drone,-1.5,-1.5,0.0,0.0,0.0007942040101625025,yes
2026-09-13T03:08:31.061+00:00,67126.770163568,spare_CF05,,CF05,drone,,,,,,no
2026-09-13T03:08:31.061+00:00,67126.770163568,spare_CF06,,CF06,drone,,,,,,no
2026-09-13T03:08:31.061+00:00,67126.770163568,spare_CF07,,CF07,drone,,,,,,no
2026-09-13T03:08:31.061+00:00,67126.770163568,spare_CF08,,CF08,drone,,,,,,no
2026-09-13T03:08:31.061+00:00,67126.770163568,spare_CF09,,CF09,drone,,,,,,no
2026-09-13T03:08:31.061+00:00,67126.770163568,spare_CF10,,CF10,drone,,,,,,no
2026-09-13T03:08:31.061+00:00,67126.770163568,limo_a,limo_a,LIMO1,limo,-4.0,2.0,0.0,0.0,0.0004942060040775687,yes
2026-09-13T03:08:31.061+00:00,67126.770163568,limo_b,limo_b,LIMO2,limo,-4.0,-2.0,0.0,0.0,0.00045545600005425513,yes
2026-09-13T03:08:31.061+00:00,67126.770163568,limo_c,,LIMO3,limo,0,0,0.0,0.0,0.00041658100963104516,yes
2026-09-13T03:08:31.061+00:00,67126.770163568,limo_d,,LIMO4,limo,0,0,0.0,0.0,0.0003814980009337887,yes
2026-09-13T03:08:31.161+00:00,67126.870077202,cf230,cf230,CF01,drone,-1.0,0.0,0.030943724001796607,0.0,0.0008841620001476258,yes
2026-09-13T03:08:31.161+00:00,67126.870077202,cf231,cf231,CF02,drone,-1.5,1.5,0.0,0.0,0.0007731210062047467,yes
2026-09-13T03:08:31.161+00:00,67126.870077202,cf232,cf232,CF03,drone,-1.5,0.0,0.0,0.0,0.0006579129985766485,yes
2026-09-13T03:08:31.161+00:00,67126.870077202,cf233,cf233,CF04,drone,-1.5,-1.5,0.0,0.0,0.0005797890044050291,yes
2026-09-13T03:08:31.161+00:00,67126.870077202,spare_CF05,,CF05,drone,,,,,,no
2026-09-13T03:08:31.161+00:00,67126.870077202,spare_CF06,,CF06,drone,,,,,,no
2026-09-13T03:08:31.161+00:00,67126.870077202,spare_CF07,,CF07,drone,,,,,,no
2026-09-13T03:08:31.161+00:00,67126.870077202,spare_CF08,,CF08,drone,,,,,,no
2026-09-13T03:08:31.161+00:00,67126.870077202,spare_CF09,,CF09,drone,,,,,,no
2026-09-13T03:08:31.161+00:00,67126.870077202,spare_CF10,,CF10,drone,,,,,,no
2026-09-13T03:08:31.161+00:00,67126.870077202,limo_a,limo_a,LIMO1,limo,-3.953584413997305,1.9767922069986525,0.0,0.0,0.00039541399746667594,yes
2026-09-13T03:08:31.161+00:00,67126.870077202,limo_b,limo_b,LIMO2,limo,-4.0,-2.0,0.0,0.0,0.0003721230023074895,yes
2026-09-13T03:08:31.161+00:00,67126.870077202,limo_c,,LIMO3,limo,0,0,0.0,0.0,0.00034949800465255976,yes
2026-09-13T03:08:31.161+00:00,67126.870077202,limo_d,,LIMO4,limo,0,0,0.0,0.0,0.0003282899997429922,yes
2026-09-13T03:08:53.159+00:00,67146.875337055,cf230,cf230,CF01,drone,-0.019563946800190024,0.0,1.0,0.0,0.0012150349939474836,yes
2026-09-13T03:08:53.159+00:00,67146.875337055,cf231,cf231,CF02,drone,-1.5,1.5,0.0,0.0,0.0011130359926028177,yes
2026-09-13T03:08:53.159+00:00,67146.875337055,cf232,cf232,CF03,drone,-1.5,0.0,0.0,0.0,0.0010370359959779307,yes
2026-09-13T03:08:53.159+00:00,67146.875337055,cf233,cf233,CF04,drone,-1.5,-1.5,0.0,0.0,0.0009338699892396107,yes
2026-09-13T03:08:53.159+00:00,67146.875337055,spare_CF05,,CF05,drone,,,,,,no
2026-09-13T03:08:53.159+00:00,67146.875337055,spare_CF06,,CF06,drone,,,,,,no
2026-09-13T03:08:53.159+00:00,67146.875337055,spare_CF07,,CF07,drone,,,,,,no
2026-09-13T03:08:53.159+00:00,67146.875337055,spare_CF08,,CF08,drone,,,,,,no
2026-09-13T03:08:53.159+00:00,67146.875337055,spare_CF09,,CF09,drone,,,,,,no
2026-09-13T03:08:53.159+00:00,67146.875337055,spare_CF10,,CF10,drone,,,,,,no
2026-09-13T03:08:53.159+00:00,67146.875337055,limo_a,limo_a,LIMO1,limo,-0.04890986700047506,0.02445493350023753,0.0,0.0,0.0006252889870665967,yes
2026-09-13T03:08:53.159+00:00,67146.875337055,limo_b,limo_b,LIMO2,limo,-4.0,-2.0,0.0,0.0,0.0005864139966433868,yes
2026-09-13T03:08:53.159+00:00,67146.875337055,limo_c,,LIMO3,limo,0,0,0.0,0.0,0.0005456219951156527,yes
